text,character
"Kids, I'm going to tell you an incredible story. The story of how I met your mother",Narrator
Are we being punished for something?,Son
No,Narrator
"Yeah, is this going to take a while?",Daughter
"Yes.  Twenty-five years ago, before I was dad, I had this whole other life.",Narrator
"It was way back in 2005. I was twenty-seven just starting to make it as an architect and living in New York with my friend Marshall, my best friend from college. My life was good and then Uncle Marshall went and screwed the whole thing up.",Narrator
Will you marry me.,Marshall
"Yes, perfect! And then you're engaged, you pop the champagne! You drink a toast! You have sex on the kitchen floor... Don't have sex on our kitchen floor.",Ted
"Got it. Thanks for helping me plan this out, Ted.",Marshall
"Dude, are you kidding? It's you and Lily! I've been there for all the big moments of you and Lily. The night you met. Your first date... other first things.",Ted
"yeah, sorry. We thought you were asleep.",Marshall
"It's physics Marshall, if the bottom bunk moves, the top bunk moves too. My god, you're getting engaged tonight.",Ted
"Yeah, what are you doing tonight?",Marshall
"What was I doing? Your Uncle Marshall was taking the biggest step of his life, and me-I'm calling your Uncle, Barney.",Narrator
"hey, so you know how I've always had a thing for half-Asian girls? Well, now I've got a new favorite: Lebanese girls! Lebanese girls are the new half-Asians.",Barney
"Hey, you wanna do something tonight?",Ted
"Okay, meet me at the bar in fifteen minutes, and Suit up!",Barney
Hey.,Ted
"Where's your suit!? Just once when I say suit up, I wish you'd put on a suit.",Barney
I did that one time.,Ted
It was a blazer!,Barney
"You know, ever since college it's been Marshall and Lily and me. Now it's going to be Marshall and Lily... and me. They'll get married, start a family-before long I'm the weird, middle-aged bachelor their kids call Uncle Ted.",Ted
I see what this is about. Have you forgotten what I said to you the night we met?,Barney
"Ted, I'm going to teach you how to live.  Barney, we met at the urinal.",Barney
"Oh, right. Hi.",Ted
"Lesson one, lose the goatee. It doesn't look good with your suit.",Barney
I'm not wearing a suit.,Ted
"Lesson two, get a suit. Suits are cool.  Exhibit A.  Lesson three, don't even think about getting married till you're... thirty.",Barney
"Thirty, right. You're right. I guess it's just, you're best friend gets engaged-you start thinking about that stuff.",Ted
"I thought I was your best friend. Ted, say I'm your best friend.",Barney
"You're my best friend, Barney.",Ted
"Good! And as your best friend, I suggest we play a little game called... Have you met Ted?",Barney
"Wai-no, no, no. We're not playing Have You Met Ted?",Ted
"Hi, have you met Ted? .",Barney
"Hi, I'm Ted.",Ted
Yasmine.,Yasmine
It's a very pretty name.,Ted
"Thanks, It's Lebanese.",Yasmine
Hey!,Marshall
"Urgh. I'm exhausted. It was finger painting day at school, and a five year old boy  got to second base with me. Wow, you're cooking?",Lily
"Yes, I am.",Marshall
Aww- Are you sure that's a good idea after last time? You looked really creepy without eyebrows.,Lily
I can handle this; I'm full of surprises tonight.,Marshall
So there's more surprises? Like what?,Lily
"Marshall was in his second year of law school, so he was pretty good at thinking on his feet.",Narrator
BOOGITY BOO! And that's all of them! I'm goanna go... cook. ,Marshall
"I'm so happy for Marshall, I really am. I just couldn't imagine settling down right now.",Ted
So do you think you'll ever get married?,Yasmine
"Well maybe eventually. Some fall day. Possibly in Central Park. Simple ceremony, we'll write our own vows. But--eh--no DJ, people will dance. I'm not going to worry about it! Damn it, why did Marshall have to get engaged?  Yeah, nothing hotter than a guy planning out his own imaginary wedding, huh?",Ted
"Actually, I think it's cute.",Yasmine
"Well, you're clearly drunk  ONE MORE FOR THE LADY!",Ted
"Okay, look what I got ",Marshall
Aw-honey. Champagne! ,Lily
Yeah. ,Marshall
"No, you are too old to be scared to open a bottle of champagne!",Lily
I'm not scared.,Marshall
Then open it!,Lily
Fine  Please open it ,Marshall
"You are unbelievable, Marshall. No-",Lily
"There are two big questions a man has to ask in life. One you plan out for months, the other just slips out when you're half drunk at some bar.",Narrator
will you marry me?,Marshall
you wanna go out sometime?,Ted
"Of course, you idiot! ",Lily
I'm sorry; Carl's my boyfriend ,Yasmine
"Sup, Carl?",Ted
I promised Ted we wouldn't do that.,Marshall
Did you know there's a pop tart under your fridge?,Lily
"No, but dibs. Where's that champagne? I wanna drink a toast with my fiancé.",Marshall
aww ,Lily
I don't know why I was so scared of this. Pretty easy right? ,Marshall
nan,Lily
OH!,Marshall
